DeviceTag: Xsens DOT2,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2023-06-15 09:55:41.758,© Movella Technologies B.V. 2005-2023
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
3395870,0.9641,-0.0605,-0.2561,0.0362,-0.1153,0.8030,0.0899,0
3396037,0.9641,-0.0607,-0.2561,0.0363,-0.1428,0.8135,0.0871,0
3396203,0.9640,-0.0610,-0.2562,0.0363,-0.1116,0.8243,0.0366,0
3396370,0.9640,-0.0612,-0.2562,0.0364,-0.1603,0.8375,0.0922,0
3396537,0.9640,-0.0614,-0.2562,0.0364,-0.1488,0.8297,0.0793,0
3396704,0.9640,-0.0616,-0.2563,0.0365,-0.1156,0.8449,0.0507,0
3397037,0.9639,-0.0620,-0.2563,0.0365,-0.1199,0.8380,0.0557,0
3397204,0.9639,-0.0622,-0.2563,0.0366,-0.1403,0.8498,0.0867,0
3397370,0.9639,-0.0624,-0.2564,0.0366,-0.1406,0.8618,0.0601,0
3397537,0.9638,-0.0626,-0.2564,0.0367,-0.1455,0.8572,0.0553,0
3397704,0.9638,-0.0628,-0.2564,0.0367,-0.1532,0.8482,0.0696,0
3397870,0.9638,-0.0629,-0.2565,0.0368,-0.1188,0.8744,0.0548,0
3398537,0.9637,-0.0636,-0.2566,0.0370,-0.1598,0.8647,0.0774,0
3398704,0.9637,-0.0637,-0.2566,0.0370,-0.1471,0.8982,0.0686,0
3398870,0.9637,-0.0639,-0.2566,0.0371,-0.1235,0.8804,0.0436,0
3399037,0.9637,-0.0640,-0.2566,0.0371,-0.1244,0.8718,0.0531,0
3399204,0.9637,-0.0641,-0.2567,0.0372,-0.1764,0.8815,0.0903,0
3399370,0.9636,-0.0642,-0.2567,0.0372,-0.1193,0.8983,0.0367,0
3400037,0.9636,-0.0647,-0.2568,0.0374,-0.1357,0.9043,0.0622,0
3400204,0.9636,-0.0648,-0.2568,0.0375,-0.1498,0.9064,0.0804,0
3400370,0.9635,-0.0649,-0.2569,0.0375,-0.1524,0.9087,0.0588,0
3400537,0.9635,-0.0649,-0.2569,0.0376,-0.1368,0.9126,0.0426,0
3400704,0.9635,-0.0650,-0.2569,0.0377,-0.1485,0.9113,0.0726,0
3400870,0.9635,-0.0651,-0.2569,0.0377,-0.1415,0.9157,0.0878,0
3401204,0.9635,-0.0652,-0.2569,0.0379,-0.1639,0.9152,0.0385,0
3401370,0.9635,-0.0653,-0.2570,0.0379,-0.1576,0.9371,0.0911,0
3401537,0.9635,-0.0654,-0.2570,0.0380,-0.1469,0.9305,0.0792,0
3402037,0.9634,-0.0655,-0.2571,0.0382,-0.1719,0.9270,0.0702,0
3402204,0.9634,-0.0656,-0.2571,0.0382,-0.1329,0.9241,0.0505,0
3402370,0.9634,-0.0656,-0.2571,0.0383,-0.1434,0.9298,0.0744,0
3402704,0.9634,-0.0656,-0.2571,0.0384,-0.1517,0.9296,0.0526,0
3402870,0.9634,-0.0656,-0.2571,0.0385,-0.1694,0.9299,0.0487,0
3403037,0.9634,-0.0657,-0.2572,0.0385,-0.1573,0.9214,0.0588,0
3404204,0.9633,-0.0656,-0.2572,0.0388,-0.1489,0.9307,0.0644,0
3404370,0.9633,-0.0656,-0.2572,0.0389,-0.1715,0.9366,0.0537,0
3404537,0.9633,-0.0656,-0.2572,0.0389,-0.1604,0.9247,0.0701,0
3404704,0.9633,-0.0656,-0.2572,0.0389,-0.1437,0.9413,0.0689,0
3404870,0.9633,-0.0655,-0.2573,0.0390,-0.1374,0.9198,0.0526,0
3405037,0.9633,-0.0655,-0.2572,0.0390,-0.1601,0.9133,0.0765,0
3405204,0.9633,-0.0655,-0.2572,0.0391,-0.1596,0.9228,0.0937,0
3405370,0.9633,-0.0654,-0.2573,0.0391,-0.1579,0.9387,0.0415,0
3405537,0.9633,-0.0654,-0.2573,0.0391,-0.1315,0.9229,0.0402,0
3405704,0.9633,-0.0653,-0.2572,0.0391,-0.1893,0.9505,0.0948,0
3405870,0.9633,-0.0653,-0.2573,0.0392,-0.1632,0.9187,0.0809,0
3406037,0.9633,-0.0652,-0.2573,0.0393,-0.1530,0.9062,0.0594,0
