DeviceTag: nicolashumerus_l,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2023-06-12 11:03:02.574,© Movella Technologies B.V. 2005-2023
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
22966929,0.1298,-0.6818,-0.1047,-0.7122,-0.1881,-0.0117,-0.1247,0
22967095,0.1298,-0.6817,-0.1047,-0.7124,-0.1662,-0.0007,-0.1001,0
22967262,0.1297,-0.6816,-0.1046,-0.7125,-0.1845,-0.0224,-0.1230,0
22967429,0.1296,-0.6815,-0.1045,-0.7126,-0.1955,-0.0107,-0.1140,0
22967595,0.1295,-0.6815,-0.1045,-0.7127,-0.1809,-0.0127,-0.1079,0
22967762,0.1294,-0.6814,-0.1044,-0.7128,-0.2057,-0.0206,-0.1018,0
22967929,0.1293,-0.6813,-0.1043,-0.7129,-0.2059,-0.0183,-0.1021,0
22968095,0.1292,-0.6812,-0.1042,-0.7130,-0.1940,-0.0228,-0.1111,0
22968262,0.1292,-0.6811,-0.1041,-0.7131,-0.1992,-0.0179,-0.1070,0
22968429,0.1291,-0.6810,-0.1041,-0.7133,-0.2042,-0.0239,-0.1079,0
22968596,0.1290,-0.6809,-0.1040,-0.7134,-0.1995,-0.0127,-0.1138,0
22968762,0.1289,-0.6809,-0.1039,-0.7135,-0.2105,-0.0207,-0.1051,0
22968929,0.1288,-0.6808,-0.1038,-0.7136,-0.2237,-0.0174,-0.1131,0
22969096,0.1287,-0.6807,-0.1037,-0.7137,-0.2217,-0.0169,-0.1128,0
22969262,0.1286,-0.6806,-0.1036,-0.7138,-0.2140,-0.0191,-0.1086,0
22969429,0.1285,-0.6805,-0.1035,-0.7139,-0.2386,-0.0253,-0.1037,0
22969596,0.1284,-0.6804,-0.1035,-0.7140,-0.2242,-0.0283,-0.1065,0
22969762,0.1283,-0.6803,-0.1034,-0.7141,-0.2363,-0.0236,-0.1065,0
22969929,0.1282,-0.6803,-0.1033,-0.7142,-0.2393,-0.0164,-0.1050,0
22970096,0.1281,-0.6802,-0.1032,-0.7143,-0.2262,-0.0082,-0.1140,0
22970262,0.1280,-0.6801,-0.1031,-0.7144,-0.2368,-0.0128,-0.1016,0
22970429,0.1279,-0.6800,-0.1031,-0.7145,-0.2384,-0.0176,-0.1104,0
22970596,0.1278,-0.6800,-0.1030,-0.7146,-0.2307,-0.0278,-0.1066,0
22970762,0.1277,-0.6799,-0.1029,-0.7147,-0.2340,-0.0179,-0.1100,0
22970929,0.1276,-0.6798,-0.1028,-0.7148,-0.2447,-0.0204,-0.1068,0
22971096,0.1275,-0.6797,-0.1027,-0.7149,-0.2564,-0.0274,-0.1051,0
22971262,0.1274,-0.6797,-0.1026,-0.7151,-0.2362,-0.0162,-0.1152,0
22971429,0.1273,-0.6796,-0.1025,-0.7152,-0.2729,-0.0175,-0.1126,0
22971596,0.1271,-0.6795,-0.1024,-0.7153,-0.2494,-0.0207,-0.1002,0
22971762,0.1270,-0.6795,-0.1023,-0.7153,-0.2747,-0.0404,-0.0898,0
22971929,0.1269,-0.6794,-0.1022,-0.7154,-0.2502,-0.0057,-0.1008,0
22972096,0.1268,-0.6793,-0.1021,-0.7155,-0.2452,-0.0073,-0.1026,0
22972262,0.1267,-0.6793,-0.1020,-0.7156,-0.2573,-0.0271,-0.1091,0
22972429,0.1266,-0.6792,-0.1019,-0.7157,-0.2622,-0.0202,-0.1021,0
22972596,0.1265,-0.6791,-0.1019,-0.7158,-0.2755,-0.0111,-0.1060,0
22972762,0.1263,-0.6791,-0.1017,-0.7159,-0.2813,-0.0286,-0.1012,0
22972929,0.1262,-0.6790,-0.1016,-0.7160,-0.2735,-0.0229,-0.1171,0
22973096,0.1261,-0.6790,-0.1015,-0.7161,-0.2819,-0.0181,-0.1011,0
22973262,0.1260,-0.6789,-0.1014,-0.7162,-0.2723,-0.0287,-0.1096,0
22973429,0.1259,-0.6789,-0.1013,-0.7163,-0.2847,-0.0252,-0.1105,0
22973596,0.1258,-0.6788,-0.1012,-0.7164,-0.2810,-0.0106,-0.1190,0
22973762,0.1257,-0.6787,-0.1011,-0.7164,-0.2708,-0.0020,-0.1178,0
22973929,0.1255,-0.6787,-0.1010,-0.7165,-0.2802,-0.0274,-0.1173,0
22974096,0.1254,-0.6786,-0.1009,-0.7166,-0.2796,-0.0108,-0.1108,0
22974262,0.1253,-0.6786,-0.1008,-0.7167,-0.2601,-0.0138,-0.0965,0
22974429,0.1252,-0.6785,-0.1007,-0.7168,-0.2895,-0.0126,-0.1040,0
22974596,0.1251,-0.6785,-0.1006,-0.7169,-0.2762,-0.0228,-0.1199,0
22974762,0.1249,-0.6784,-0.1005,-0.7170,-0.3010,-0.0337,-0.1035,0
22974929,0.1248,-0.6784,-0.1004,-0.7170,-0.2731,-0.0197,-0.1106,0
22975096,0.1247,-0.6783,-0.1003,-0.7171,-0.3191,-0.0382,-0.1163,0
22975262,0.1245,-0.6783,-0.1001,-0.7172,-0.3053,-0.0344,-0.0983,0
22975429,0.1244,-0.6783,-0.1000,-0.7173,-0.3138,-0.0400,-0.1151,0
22975596,0.1243,-0.6782,-0.0999,-0.7174,-0.3096,-0.0361,-0.1021,0
22975762,0.1242,-0.6782,-0.0998,-0.7174,-0.3009,-0.0090,-0.1164,0
22975929,0.1240,-0.6781,-0.0997,-0.7175,-0.3145,-0.0201,-0.1056,0
22976096,0.1431,-0.6868,-0.1163,-0.7030,0.0194,-0.0003,-0.0952,0
22976262,0.1430,-0.6868,-0.1161,-0.7031,-0.0031,-0.0147,-0.0968,0
22976429,0.1429,-0.6869,-0.1161,-0.7031,-0.0099,0.0019,-0.1014,0
22976596,0.1428,-0.6869,-0.1160,-0.7031,0.0187,0.0107,-0.1042,0
22976762,0.1428,-0.6869,-0.1160,-0.7031,-0.0168,-0.0088,-0.0965,0
22976929,0.1427,-0.6869,-0.1159,-0.7031,0.0092,-0.0085,-0.1095,0
22977096,0.1426,-0.6869,-0.1158,-0.7032,0.0315,0.0100,-0.0975,0
22977262,0.1425,-0.6869,-0.1157,-0.7032,-0.0009,-0.0068,-0.1116,0
22977429,0.1424,-0.6869,-0.1157,-0.7032,0.0227,0.0099,-0.1020,0
22977596,0.1424,-0.6869,-0.1156,-0.7032,-0.0172,0.0122,-0.1076,0
22977762,0.1423,-0.6869,-0.1155,-0.7032,-0.0066,0.0029,-0.0943,0
22977929,0.1422,-0.6869,-0.1154,-0.7033,0.0131,-0.0053,-0.0893,0
22978096,0.1422,-0.6869,-0.1154,-0.7033,-0.0078,0.0063,-0.0951,0
22978262,0.1421,-0.6869,-0.1153,-0.7033,0.0021,-0.0058,-0.1075,0
22978429,0.1421,-0.6870,-0.1153,-0.7033,0.0204,0.0122,-0.1114,0
22978596,0.1420,-0.6870,-0.1152,-0.7033,0.0319,0.0019,-0.0951,0
22978762,0.1419,-0.6870,-0.1151,-0.7033,-0.0046,0.0068,-0.1026,0
22978929,0.1419,-0.6870,-0.1150,-0.7034,-0.0137,-0.0131,-0.1062,0
22979096,0.1418,-0.6870,-0.1150,-0.7034,-0.0155,-0.0146,-0.0996,0
22979262,0.1417,-0.6870,-0.1149,-0.7034,0.0176,0.0092,-0.1135,0
22979429,0.1416,-0.6870,-0.1148,-0.7034,0.0010,-0.0016,-0.1070,0
22979596,0.1416,-0.6870,-0.1148,-0.7034,-0.0056,0.0030,-0.0931,0
22979762,0.1415,-0.6870,-0.1147,-0.7034,-0.0034,-0.0091,-0.0962,0
22979929,0.1415,-0.6870,-0.1147,-0.7034,-0.0158,-0.0008,-0.1030,0
22980096,0.1415,-0.6870,-0.1146,-0.7034,0.0117,0.0186,-0.1015,0
22980262,0.1414,-0.6870,-0.1146,-0.7035,0.0062,0.0158,-0.1061,0
22980429,0.1413,-0.6870,-0.1145,-0.7035,0.0069,-0.0070,-0.1233,0
22980596,0.1413,-0.6870,-0.1145,-0.7035,-0.0085,-0.0042,-0.0904,0
22980762,0.1412,-0.6870,-0.1144,-0.7035,0.0014,0.0046,-0.1048,0
22980929,0.1412,-0.6871,-0.1144,-0.7035,-0.0171,-0.0119,-0.0862,0
22981096,0.1411,-0.6871,-0.1143,-0.7035,0.0016,-0.0101,-0.1053,0
22981262,0.1410,-0.6871,-0.1142,-0.7035,-0.0000,-0.0040,-0.1003,0
22981429,0.1410,-0.6871,-0.1142,-0.7036,-0.0083,-0.0095,-0.1035,0
22981596,0.1409,-0.6871,-0.1141,-0.7036,-0.0178,-0.0081,-0.0973,0
22981762,0.1408,-0.6871,-0.1140,-0.7036,0.0024,0.0003,-0.1007,0
22981929,0.1408,-0.6871,-0.1140,-0.7036,-0.0020,-0.0173,-0.1094,0
22982096,0.1407,-0.6871,-0.1139,-0.7036,0.0215,-0.0037,-0.0913,0
22982262,0.1407,-0.6871,-0.1139,-0.7036,-0.0213,-0.0176,-0.0976,0
22982429,0.1407,-0.6871,-0.1139,-0.7036,0.0003,-0.0102,-0.1121,0
22982596,0.1406,-0.6872,-0.1138,-0.7036,-0.0199,-0.0147,-0.1027,0
22982762,0.1405,-0.6872,-0.1138,-0.7037,0.0035,-0.0047,-0.1076,0
22982929,0.1405,-0.6872,-0.1138,-0.7036,-0.0172,-0.0051,-0.1074,0
22983096,0.1405,-0.6872,-0.1137,-0.7037,-0.0055,0.0024,-0.0924,0
22983262,0.1404,-0.6872,-0.1137,-0.7037,0.0031,-0.0012,-0.0986,0
22983429,0.1404,-0.6872,-0.1136,-0.7037,0.0025,-0.0069,-0.0961,0
22983596,0.1403,-0.6872,-0.1135,-0.7037,-0.0027,0.0049,-0.1044,0
22983762,0.1403,-0.6872,-0.1135,-0.7037,0.0118,0.0074,-0.1019,0
22983929,0.1402,-0.6872,-0.1134,-0.7037,-0.0045,-0.0074,-0.1131,0
22984096,0.1402,-0.6872,-0.1134,-0.7037,-0.0058,0.0097,-0.1098,0
22984262,0.1402,-0.6872,-0.1134,-0.7037,-0.0193,-0.0091,-0.1122,0
22984429,0.1402,-0.6872,-0.1133,-0.7037,-0.0056,-0.0163,-0.1136,0
22984596,0.1401,-0.6872,-0.1133,-0.7037,-0.0341,-0.0199,-0.1055,0
22984762,0.1401,-0.6872,-0.1133,-0.7037,-0.0024,0.0012,-0.1080,0
22984929,0.1401,-0.6872,-0.1133,-0.7037,-0.0184,-0.0069,-0.0974,0
22985096,0.1400,-0.6872,-0.1132,-0.7038,0.0004,0.0088,-0.1120,0
22985263,0.1400,-0.6873,-0.1132,-0.7038,-0.0217,-0.0070,-0.1001,0
22985429,0.1399,-0.6873,-0.1131,-0.7038,0.0161,0.0003,-0.0985,0
22985596,0.1399,-0.6873,-0.1130,-0.7038,0.0144,0.0006,-0.1059,0
22985763,0.1398,-0.6873,-0.1130,-0.7038,0.0022,-0.0062,-0.1178,0
22985929,0.1398,-0.6873,-0.1130,-0.7038,-0.0173,-0.0135,-0.1015,0
