DeviceTag: Xsens DOT0,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2023-06-12 11:03:02.801,© Movella Technologies B.V. 2005-2023
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
22969079,0.4850,0.5031,-0.5073,0.5043,0.0147,-0.1071,-0.0487,0
22969245,0.4851,0.5031,-0.5074,0.5042,0.0266,-0.1000,-0.0671,0
22969412,0.4851,0.5031,-0.5075,0.5041,0.0153,-0.1208,-0.0612,0
22969579,0.4851,0.5030,-0.5076,0.5040,0.0095,-0.1084,-0.0669,0
22969745,0.4852,0.5029,-0.5078,0.5038,0.0101,-0.1011,-0.0613,0
22969912,0.4853,0.5029,-0.5079,0.5037,0.0188,-0.1171,-0.0566,0
22970079,0.4853,0.5028,-0.5080,0.5036,0.0173,-0.1175,-0.0601,0
22970245,0.4853,0.5029,-0.5080,0.5035,0.0243,-0.1053,-0.0664,0
22970412,0.4853,0.5029,-0.5081,0.5034,0.0035,-0.1022,-0.0697,0
22970579,0.4853,0.5028,-0.5082,0.5033,0.0222,-0.1001,-0.0553,0
22970745,0.4853,0.5028,-0.5082,0.5033,0.0058,-0.1203,-0.0583,0
22970912,0.4854,0.5028,-0.5083,0.5032,0.0055,-0.1265,-0.0580,0
22971079,0.4853,0.5028,-0.5084,0.5032,0.0202,-0.1354,-0.0571,0
22971245,0.4854,0.5028,-0.5084,0.5031,0.0251,-0.1143,-0.0627,0
22971412,0.4854,0.5028,-0.5085,0.5030,0.0231,-0.1166,-0.0628,0
22971579,0.4854,0.5028,-0.5086,0.5029,0.0231,-0.1050,-0.0565,0
22971745,0.4854,0.5028,-0.5086,0.5029,0.0144,-0.1262,-0.0577,0
22971912,0.4854,0.5028,-0.5087,0.5028,0.0244,-0.1304,-0.0685,0
22972079,0.4855,0.5027,-0.5088,0.5027,0.0125,-0.1234,-0.0665,0
22972245,0.4855,0.5027,-0.5089,0.5026,0.0108,-0.1441,-0.0510,0
22972412,0.4856,0.5026,-0.5090,0.5025,0.0139,-0.1414,-0.0400,0
22972579,0.4856,0.5026,-0.5091,0.5024,0.0120,-0.1154,-0.0567,0
22972745,0.4857,0.5026,-0.5092,0.5023,0.0241,-0.1316,-0.0497,0
22972912,0.4856,0.5026,-0.5092,0.5023,0.0230,-0.1026,-0.0596,0
22973079,0.4857,0.5025,-0.5093,0.5022,0.0181,-0.1309,-0.0597,0
22973245,0.4857,0.5025,-0.5094,0.5021,0.0115,-0.1284,-0.0683,0
22973412,0.4857,0.5026,-0.5094,0.5021,0.0068,-0.1382,-0.0484,0
22973579,0.4857,0.5025,-0.5095,0.5020,0.0188,-0.1228,-0.0644,0
22973745,0.4858,0.5025,-0.5096,0.5019,0.0151,-0.1238,-0.0546,0
22973912,0.4858,0.5025,-0.5097,0.5018,0.0253,-0.1452,-0.0515,0
22974079,0.4858,0.5025,-0.5097,0.5017,0.0147,-0.1485,-0.0529,0
22974246,0.4858,0.5024,-0.5098,0.5017,0.0237,-0.1360,-0.0512,0
22974412,0.4858,0.5024,-0.5099,0.5016,0.0180,-0.1361,-0.0548,0
22974579,0.4858,0.5024,-0.5099,0.5016,0.0237,-0.1456,-0.0596,0
22974746,0.4858,0.5024,-0.5100,0.5015,0.0222,-0.1380,-0.0670,0
22974912,0.4859,0.5023,-0.5101,0.5014,0.0070,-0.1414,-0.0555,0
22975079,0.4859,0.5023,-0.5101,0.5013,0.0180,-0.1595,-0.0588,0
22975246,0.4859,0.5023,-0.5102,0.5013,0.0162,-0.1271,-0.0523,0
22975412,0.4859,0.5023,-0.5102,0.5012,0.0202,-0.1545,-0.0638,0
22975579,0.4860,0.5023,-0.5103,0.5011,0.0162,-0.1323,-0.0606,0
22975746,0.4860,0.5022,-0.5104,0.5011,0.0176,-0.1428,-0.0644,0
22975912,0.4860,0.5022,-0.5104,0.5010,0.0216,-0.1470,-0.0426,0
22976079,0.4860,0.5022,-0.5105,0.5009,0.0279,-0.1794,-0.0533,0
22976246,0.4860,0.5022,-0.5105,0.5009,0.0243,-0.1482,-0.0748,0
22976412,0.4861,0.5022,-0.5106,0.5008,0.0195,-0.1478,-0.0556,0
22976579,0.4860,0.5022,-0.5106,0.5008,0.0194,-0.1585,-0.0658,0
22976746,0.4860,0.5022,-0.5107,0.5008,0.0159,-0.1545,-0.0573,0
22976912,0.4861,0.5022,-0.5107,0.5007,0.0079,-0.1317,-0.0470,0
22977079,0.4861,0.5022,-0.5108,0.5007,0.0259,-0.1603,-0.0622,0
22977246,0.4861,0.5022,-0.5108,0.5006,0.0055,-0.1448,-0.0676,0
22977412,0.4861,0.5022,-0.5108,0.5006,0.0113,-0.1624,-0.0510,0
22977579,0.4844,0.5030,-0.5022,0.5100,0.0031,0.0046,-0.0545,0
22977746,0.4844,0.5030,-0.5022,0.5100,0.0052,-0.0121,-0.0505,0
22977912,0.4844,0.5030,-0.5022,0.5100,-0.0042,0.0041,-0.0589,0
22978079,0.4844,0.5030,-0.5022,0.5100,0.0047,0.0055,-0.0480,0
22978246,0.4844,0.5030,-0.5022,0.5100,-0.0054,0.0235,-0.0540,0
22978412,0.4844,0.5030,-0.5022,0.5100,0.0092,0.0010,-0.0580,0
22978912,0.4844,0.5030,-0.5022,0.5100,-0.0013,-0.0117,-0.0547,0
22979079,0.4844,0.5030,-0.5022,0.5100,0.0087,-0.0130,-0.0475,0
22979246,0.4844,0.5030,-0.5022,0.5100,-0.0040,0.0010,-0.0519,0
22979579,0.4844,0.5030,-0.5022,0.5100,0.0022,-0.0016,-0.0520,0
22979746,0.4844,0.5030,-0.5022,0.5100,0.0054,-0.0079,-0.0626,0
22979912,0.4844,0.5030,-0.5022,0.5100,0.0014,0.0322,-0.0407,0
22980079,0.4844,0.5030,-0.5022,0.5100,0.0000,-0.0202,-0.0549,0
22980246,0.4844,0.5030,-0.5022,0.5100,-0.0058,0.0039,-0.0560,0
22980412,0.4844,0.5030,-0.5022,0.5100,0.0054,-0.0179,-0.0624,0
22980579,0.4844,0.5030,-0.5022,0.5100,0.0069,0.0159,-0.0598,0
22980746,0.4844,0.5030,-0.5022,0.5100,0.0012,-0.0010,-0.0475,0
22980912,0.4844,0.5030,-0.5022,0.5100,-0.0004,0.0089,-0.0823,0
22981079,0.4844,0.5030,-0.5022,0.5100,0.0031,-0.0055,-0.0585,0
22981246,0.4844,0.5030,-0.5022,0.5100,0.0010,0.0226,-0.0692,0
22981412,0.4844,0.5030,-0.5022,0.5100,-0.0069,0.0139,-0.0672,0
22981579,0.4844,0.5030,-0.5022,0.5100,-0.0054,0.0117,-0.0435,0
22981746,0.4844,0.5030,-0.5022,0.5100,0.0039,0.0089,-0.0657,0
22981912,0.4844,0.5030,-0.5022,0.5100,-0.0153,0.0210,-0.0645,0
22982079,0.4844,0.5030,-0.5022,0.5100,-0.0003,0.0084,-0.0650,0
22982246,0.4844,0.5030,-0.5022,0.5100,0.0018,-0.0055,-0.0582,0
22982412,0.4844,0.5030,-0.5022,0.5100,-0.0041,0.0001,-0.0608,0
22982579,0.4844,0.5030,-0.5022,0.5100,-0.0107,-0.0045,-0.0579,0
22982746,0.4844,0.5030,-0.5022,0.5100,0.0056,-0.0163,-0.0596,0
22982912,0.4844,0.5030,-0.5022,0.5100,-0.0007,-0.0323,-0.0685,0
22983246,0.4844,0.5030,-0.5022,0.5100,-0.0086,-0.0036,-0.0571,0
22983412,0.4844,0.5030,-0.5022,0.5100,-0.0072,-0.0080,-0.0508,0
22983579,0.4844,0.5030,-0.5022,0.5100,0.0029,0.0110,-0.0534,0
22983746,0.4844,0.5030,-0.5022,0.5100,-0.0035,0.0036,-0.0468,0
22983912,0.4844,0.5030,-0.5022,0.5100,-0.0019,-0.0121,-0.0481,0
22984079,0.4845,0.5029,-0.5024,0.5098,-0.0029,-0.0174,-0.0556,0
22984246,0.4845,0.5029,-0.5024,0.5099,-0.0113,-0.0008,-0.0558,0
22984412,0.4844,0.5030,-0.5023,0.5100,-0.0037,-0.0022,-0.0556,0
22984579,0.4844,0.5030,-0.5022,0.5100,0.0031,-0.0164,-0.0548,0
22984746,0.4844,0.5030,-0.5022,0.5100,0.0068,-0.0026,-0.0552,0
22984912,0.4844,0.5030,-0.5022,0.5100,0.0066,-0.0037,-0.0613,0
22985079,0.4844,0.5030,-0.5022,0.5100,-0.0037,0.0046,-0.0524,0
