DeviceTag: Xsens DOT3,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2023-06-15 11:41:08.464,© Movella Technologies B.V. 2005-2023
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
5657188,0.9881,-0.0089,0.0057,0.1536,0.0094,-0.0049,0.2154,0
5657354,0.9881,-0.0084,0.0055,0.1536,0.0047,-0.0111,0.2059,0
5657521,0.9880,-0.0079,0.0053,0.1539,0.0029,-0.0158,0.2065,0
5657688,0.9880,-0.0075,0.0052,0.1540,-0.0091,-0.0423,0.1665,0
5657854,0.9880,-0.0071,0.0052,0.1542,-0.0025,-0.0412,0.1903,0
5658021,0.9880,-0.0068,0.0052,0.1543,0.0029,-0.0637,0.1854,0
5658188,0.9880,-0.0065,0.0051,0.1544,-0.0036,-0.0576,0.1826,0
5658354,0.9880,-0.0061,0.0051,0.1544,-0.0067,-0.0530,0.2193,0
5658521,0.9880,-0.0058,0.0050,0.1546,-0.0175,-0.0722,0.2056,0
5658688,0.9879,-0.0054,0.0050,0.1546,0.0046,-0.0798,0.1853,0
5658854,0.9879,-0.0051,0.0049,0.1547,0.0063,-0.0795,0.1901,0
5659021,0.9879,-0.0047,0.0049,0.1549,0.0122,-0.1028,0.2039,0
5659188,0.9879,-0.0044,0.0048,0.1550,-0.0011,-0.1140,0.2050,0
5659354,0.9879,-0.0040,0.0048,0.1550,0.0005,-0.1092,0.2010,0
5659521,0.9879,-0.0036,0.0047,0.1550,-0.0041,-0.1149,0.1793,0
5659688,0.9879,-0.0033,0.0047,0.1552,0.0004,-0.1232,0.2021,0
5659854,0.9879,-0.0029,0.0046,0.1552,0.0041,-0.1320,0.2188,0
5660021,0.9879,-0.0025,0.0046,0.1553,-0.0001,-0.1586,0.1764,0
5660188,0.9878,-0.0022,0.0045,0.1554,0.0157,-0.1516,0.2051,0
5660354,0.9878,-0.0018,0.0045,0.1555,-0.0022,-0.1601,0.1943,0
5660521,0.9878,-0.0014,0.0044,0.1555,0.0098,-0.1573,0.2117,0
5660688,0.9878,-0.0010,0.0044,0.1555,-0.0019,-0.1717,0.1970,0
5660854,0.9878,-0.0007,0.0043,0.1556,-0.0042,-0.1824,0.1969,0
5661021,0.9878,-0.0003,0.0042,0.1557,0.0105,-0.1952,0.1813,0
5661188,0.9878,0.0001,0.0042,0.1558,0.0255,-0.1820,0.2263,0
5661354,0.9878,0.0004,0.0041,0.1558,0.0098,-0.1879,0.2084,0
5661521,0.9878,0.0008,0.0041,0.1559,-0.0135,-0.1946,0.1740,0
5661688,0.9877,0.0012,0.0040,0.1560,-0.0114,-0.2085,0.2111,0
5661854,0.9877,0.0016,0.0039,0.1561,0.0160,-0.2326,0.2147,0
5662021,0.9877,0.0020,0.0039,0.1561,0.0143,-0.2078,0.1905,0
5662188,0.9877,0.0023,0.0038,0.1562,0.0073,-0.2287,0.1911,0
5662354,0.9877,0.0027,0.0037,0.1563,-0.0121,-0.2612,0.1939,0
5662521,0.9877,0.0031,0.0037,0.1563,0.0018,-0.2648,0.1977,0
5662688,0.9877,0.0035,0.0036,0.1564,0.0135,-0.2434,0.2026,0
5662854,0.9877,0.0039,0.0036,0.1564,-0.0006,-0.2660,0.1935,0
5663021,0.9877,0.0043,0.0035,0.1565,0.0041,-0.2676,0.1998,0
5663188,0.9876,0.0046,0.0034,0.1566,-0.0074,-0.2826,0.2124,0
5663354,0.9876,0.0050,0.0034,0.1566,0.0038,-0.2904,0.2300,0
5663521,0.9876,0.0054,0.0033,0.1567,-0.0015,-0.2851,0.1836,0
5663688,0.9876,0.0058,0.0033,0.1568,-0.0093,-0.3245,0.2101,0
5663854,0.9876,0.0062,0.0032,0.1568,-0.0113,-0.3079,0.1850,0
5664021,0.9876,0.0065,0.0031,0.1569,-0.0110,-0.3355,0.2139,0
5664188,0.9876,0.0069,0.0031,0.1569,-0.0032,-0.3211,0.2051,0
5664354,0.9876,0.0073,0.0030,0.1569,0.0100,-0.3384,0.1733,0
5664521,0.9876,0.0077,0.0030,0.1570,0.0165,-0.3444,0.2287,0
5664688,0.9876,0.0081,0.0029,0.1571,0.0023,-0.3560,0.2232,0
5664854,0.9875,0.0084,0.0028,0.1571,0.0095,-0.3670,0.2087,0
5665021,0.9875,0.0088,0.0028,0.1571,-0.0005,-0.3567,0.1924,0
5665188,0.9875,0.0092,0.0027,0.1572,-0.0092,-0.3627,0.1970,0
5665354,0.9875,0.0096,0.0027,0.1572,0.0088,-0.3765,0.2065,0
5665521,0.9875,0.0099,0.0026,0.1573,0.0039,-0.3763,0.1953,0
5665688,0.9875,0.0103,0.0025,0.1573,0.0038,-0.3961,0.2190,0
5665854,0.9875,0.0107,0.0025,0.1573,0.0010,-0.4114,0.2064,0
5666021,0.9875,0.0110,0.0024,0.1574,0.0053,-0.4039,0.1827,0
5666188,0.9875,0.0114,0.0024,0.1574,0.0052,-0.4231,0.1960,0
5666354,0.9874,0.0118,0.0023,0.1575,-0.0024,-0.4328,0.2048,0
5666521,0.9874,0.0121,0.0022,0.1575,-0.0050,-0.4416,0.1928,0
5666688,0.9874,0.0125,0.0022,0.1576,-0.0034,-0.4483,0.1894,0
5666854,0.9874,0.0129,0.0021,0.1576,0.0059,-0.4546,0.1950,0
5667021,0.9874,0.0132,0.0021,0.1577,-0.0008,-0.4406,0.1975,0
5667188,0.9874,0.0136,0.0020,0.1577,0.0148,-0.4591,0.1889,0
