DeviceTag: Xsens DOT1,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2023-06-15 11:41:08.629,© Movella Technologies B.V. 2005-2023
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
8989842,0.9885,0.0001,0.0139,0.1507,0.0079,-0.0209,0.3155,0
8990009,0.9886,0.0009,0.0139,0.1501,0.0224,-0.0480,0.2887,0
8990176,0.9885,0.0014,0.0139,0.1504,0.0217,-0.0545,0.2846,0
8990342,0.9885,0.0019,0.0139,0.1508,0.0159,-0.0522,0.3241,0
8990509,0.9884,0.0025,0.0139,0.1509,0.0253,-0.0699,0.2695,0
8990676,0.9884,0.0030,0.0139,0.1511,0.0273,-0.0669,0.2914,0
8990842,0.9884,0.0036,0.0139,0.1511,0.0424,-0.0900,0.3046,0
8991009,0.9884,0.0042,0.0139,0.1514,0.0249,-0.1219,0.2864,0
8991176,0.9883,0.0048,0.0139,0.1515,0.0435,-0.1229,0.2635,0
8991342,0.9883,0.0054,0.0140,0.1518,0.0293,-0.1443,0.3002,0
8991509,0.9883,0.0060,0.0140,0.1521,0.0311,-0.1297,0.3004,0
8991676,0.9882,0.0067,0.0140,0.1522,0.0361,-0.1376,0.2823,0
8991842,0.9882,0.0073,0.0141,0.1524,0.0458,-0.1771,0.3042,0
8992009,0.9882,0.0079,0.0141,0.1525,0.0563,-0.1675,0.2711,0
8992176,0.9882,0.0086,0.0142,0.1526,0.0596,-0.1884,0.3231,0
8992342,0.9881,0.0092,0.0142,0.1527,0.0539,-0.1977,0.3008,0
8992509,0.9881,0.0099,0.0143,0.1528,0.0454,-0.2337,0.2704,0
8992676,0.9881,0.0105,0.0143,0.1529,0.0251,-0.2363,0.2981,0
8992842,0.9880,0.0112,0.0144,0.1531,0.0603,-0.2381,0.3178,0
8993009,0.9880,0.0118,0.0145,0.1532,0.0842,-0.2569,0.2936,0
8993176,0.9880,0.0125,0.0145,0.1533,0.0831,-0.2559,0.2718,0
8993342,0.9880,0.0131,0.0146,0.1535,0.0587,-0.2923,0.2826,0
8993509,0.9879,0.0138,0.0146,0.1536,0.0692,-0.3112,0.2653,0
8993676,0.9879,0.0145,0.0147,0.1538,0.0861,-0.3142,0.2940,0
8993842,0.9879,0.0151,0.0147,0.1540,0.0899,-0.3075,0.3091,0
8994009,0.9878,0.0158,0.0148,0.1541,0.0795,-0.3435,0.3005,0
8994176,0.9878,0.0165,0.0148,0.1543,0.0854,-0.3642,0.2813,0
8994342,0.9877,0.0171,0.0149,0.1545,0.0800,-0.3484,0.3208,0
8994509,0.9877,0.0178,0.0149,0.1546,0.1013,-0.3762,0.2733,0
8994676,0.9877,0.0184,0.0150,0.1547,0.1061,-0.3951,0.2871,0
8994842,0.9876,0.0191,0.0150,0.1549,0.0974,-0.4172,0.2914,0
8995009,0.9876,0.0198,0.0151,0.1550,0.0863,-0.4164,0.2700,0
8995176,0.9876,0.0204,0.0152,0.1551,0.1082,-0.4266,0.3083,0
8995342,0.9875,0.0211,0.0152,0.1552,0.1251,-0.4363,0.2816,0
8995509,0.9875,0.0218,0.0153,0.1553,0.1215,-0.4612,0.2795,0
8995676,0.9875,0.0224,0.0153,0.1555,0.1161,-0.4854,0.3061,0
8995843,0.9874,0.0231,0.0154,0.1556,0.1282,-0.4885,0.2811,0
8996009,0.9874,0.0237,0.0155,0.1557,0.1091,-0.4802,0.2542,0
8996176,0.9874,0.0244,0.0155,0.1558,0.1282,-0.5107,0.3168,0
8996343,0.9873,0.0251,0.0156,0.1560,0.1246,-0.5240,0.3034,0
8996509,0.9873,0.0257,0.0156,0.1561,0.1352,-0.5313,0.2270,0
8996676,0.9872,0.0264,0.0157,0.1562,0.1431,-0.5590,0.2926,0
8996843,0.9872,0.0271,0.0157,0.1563,0.1368,-0.5647,0.3079,0
8997009,0.9872,0.0277,0.0158,0.1564,0.1331,-0.5810,0.2555,0
8997176,0.9871,0.0284,0.0158,0.1566,0.1554,-0.5816,0.2620,0
8997343,0.9871,0.0290,0.0159,0.1567,0.1386,-0.5901,0.2983,0
8997509,0.9871,0.0297,0.0159,0.1568,0.1408,-0.6169,0.2526,0
8997676,0.9870,0.0303,0.0160,0.1569,0.1697,-0.6302,0.2592,0
8997843,0.9870,0.0310,0.0160,0.1571,0.1416,-0.6389,0.2751,0
8998009,0.9869,0.0316,0.0161,0.1572,0.1632,-0.6363,0.2682,0
8998176,0.9869,0.0323,0.0162,0.1573,0.1800,-0.6500,0.2714,0
8998343,0.9869,0.0329,0.0162,0.1574,0.1693,-0.6676,0.2839,0
8998509,0.9868,0.0336,0.0162,0.1575,0.1539,-0.6824,0.2760,0
8998676,0.9868,0.0342,0.0163,0.1576,0.1920,-0.7122,0.2634,0
8998843,0.9867,0.0348,0.0164,0.1577,0.1898,-0.7174,0.2673,0
8999009,0.9867,0.0355,0.0164,0.1578,0.1648,-0.7169,0.2587,0
8999176,0.9867,0.0361,0.0165,0.1579,0.1705,-0.7475,0.2577,0
8999343,0.9866,0.0367,0.0165,0.1580,0.1749,-0.7553,0.2906,0
8999509,0.9866,0.0374,0.0166,0.1581,0.2116,-0.7520,0.2715,0
8999676,0.9865,0.0380,0.0166,0.1582,0.1971,-0.7749,0.2625,0
8999843,0.9865,0.0386,0.0167,0.1583,0.1897,-0.8056,0.2456,0
9000009,0.9865,0.0392,0.0167,0.1584,0.1940,-0.7971,0.2535,0
9000176,0.9864,0.0398,0.0168,0.1585,0.2115,-0.7996,0.2605,0
9000343,0.9864,0.0405,0.0168,0.1586,0.2120,-0.8099,0.2501,0
9000509,0.9863,0.0411,0.0169,0.1587,0.1864,-0.8422,0.2449,0
9000676,0.9863,0.0417,0.0169,0.1588,0.2043,-0.8436,0.2565,0
9000843,0.9862,0.0423,0.0170,0.1589,0.1917,-0.8572,0.2398,0
9001009,0.9862,0.0429,0.0170,0.1590,0.2239,-0.8769,0.2636,0
9001176,0.9862,0.0435,0.0171,0.1591,0.2150,-0.8850,0.2535,0
9001343,0.9861,0.0441,0.0171,0.1592,0.2167,-0.8882,0.2685,0
9001509,0.9861,0.0447,0.0172,0.1592,0.2069,-0.9055,0.2463,0
9001676,0.9860,0.0453,0.0172,0.1593,0.2301,-0.9193,0.2862,0
9001843,0.9860,0.0458,0.0172,0.1594,0.2440,-0.9308,0.2455,0
9002009,0.9860,0.0464,0.0173,0.1595,0.2357,-0.9410,0.2925,0
9002176,0.9859,0.0470,0.0173,0.1595,0.2311,-0.9529,0.1971,0
9002343,0.9859,0.0476,0.0174,0.1596,0.2478,-0.9451,0.2272,0
9002509,0.9858,0.0481,0.0174,0.1597,0.2428,-0.9395,0.2428,0
9002676,0.9858,0.0487,0.0175,0.1597,0.2084,-1.0125,0.2576,0
9002843,0.9858,0.0492,0.0175,0.1598,0.2598,-1.0074,0.2181,0
9003009,0.9857,0.0498,0.0176,0.1599,0.2822,-0.9835,0.2463,0
9003176,0.9857,0.0503,0.0176,0.1599,0.2685,-1.0076,0.2842,0
9003343,0.9856,0.0509,0.0176,0.1600,0.2442,-1.0553,0.2031,0
9003509,0.9856,0.0514,0.0177,0.1600,0.2509,-1.0246,0.2120,0
9003676,0.9856,0.0519,0.0177,0.1601,0.2462,-1.0536,0.2514,0
9003843,0.9855,0.0525,0.0177,0.1601,0.2610,-1.0701,0.2472,0
9004009,0.9855,0.0530,0.0178,0.1602,0.2964,-1.0578,0.2229,0
9004176,0.9855,0.0535,0.0178,0.1603,0.2789,-1.0941,0.2471,0
9004343,0.9854,0.0540,0.0179,0.1603,0.2545,-1.1049,0.2302,0
9004509,0.9854,0.0545,0.0179,0.1603,0.2751,-1.1119,0.2130,0
9004676,0.9854,0.0550,0.0179,0.1604,0.2958,-1.0869,0.2414,0
9004843,0.9853,0.0555,0.0180,0.1604,0.2778,-1.1022,0.2796,0
9005009,0.9853,0.0560,0.0180,0.1605,0.2534,-1.1409,0.1848,0
9005176,0.9853,0.0564,0.0180,0.1605,0.2817,-1.1350,0.2129,0
9005343,0.9852,0.0569,0.0181,0.1605,0.3002,-1.1389,0.2332,0
9005509,0.9852,0.0574,0.0181,0.1605,0.2765,-1.1544,0.2191,0
9005676,0.9852,0.0578,0.0181,0.1606,0.2808,-1.1570,0.2277,0
9005843,0.9851,0.0583,0.0182,0.1606,0.2911,-1.1757,0.2472,0
9006009,0.9851,0.0587,0.0182,0.1606,0.2787,-1.1850,0.2164,0
9006176,0.9851,0.0591,0.0182,0.1606,0.2956,-1.1847,0.1981,0
9006343,0.9850,0.0596,0.0182,0.1607,0.3192,-1.1943,0.2653,0
9006509,0.9850,0.0600,0.0183,0.1607,0.2964,-1.2189,0.2036,0
9006676,0.9850,0.0604,0.0183,0.1607,0.2715,-1.2366,0.2023,0
9006843,0.9850,0.0608,0.0183,0.1607,0.3035,-1.2122,0.2376,0
9007009,0.9849,0.0612,0.0183,0.1607,0.3032,-1.2194,0.2324,0
9007343,0.9849,0.0620,0.0184,0.1608,0.3127,-1.2617,0.2017,0
9007509,0.9849,0.0624,0.0184,0.1608,0.3060,-1.2539,0.2209,0
9008176,0.9848,0.0638,0.0185,0.1607,0.3112,-1.2914,0.2121,0
9008343,0.9847,0.0642,0.0185,0.1607,0.2939,-1.3075,0.1895,0
9008509,0.9847,0.0645,0.0185,0.1607,0.3440,-1.2792,0.1677,0
9008843,0.9853,0.0622,0.0274,0.1566,-0.1682,-2.0626,3.2239,0
9009009,0.9857,0.0654,0.0176,0.1546,1.1547,-1.9499,-2.3905,0
9009176,0.9861,0.0657,0.0200,0.1512,0.4798,-2.3662,0.8131,0
9009343,0.9870,0.0662,0.0197,0.1454,0.7427,-2.5256,0.4697,0
9009509,0.9872,0.0667,0.0194,0.1432,1.6357,1.2875,0.2092,0
9009676,0.9875,0.0669,0.0195,0.1412,1.6728,-1.4417,0.0700,0
9009843,0.9882,0.0673,0.0192,0.1364,1.3171,-2.1242,0.5635,0
9010009,0.9893,0.0684,0.0140,0.1279,1.6770,-2.1630,1.5798,0
9010176,0.9907,0.0708,-0.0043,0.1164,0.6586,-2.4071,2.4820,0
9010343,0.9912,0.0738,-0.0335,0.1048,-0.4363,-2.3850,1.6682,0
9010509,0.9904,0.0767,-0.0664,0.0943,-1.2012,-1.5073,-0.0731,0
9010676,0.9885,0.0788,-0.0963,0.0864,-1.4839,-0.1740,-0.2471,0
9010843,0.9861,0.0802,-0.1211,0.0812,-0.9762,-0.3989,-1.0381,0
9011009,0.9835,0.0816,-0.1413,0.0779,-0.8090,-1.0290,-0.2572,0
9011176,0.9811,0.0826,-0.1574,0.0759,0.1062,-1.4200,-0.5404,0
9011509,0.9689,0.0873,-0.2215,0.0677,-3.4286,-2.1140,4.4914,0
9011676,0.9503,0.0926,-0.2907,0.0622,-4.0949,-2.5164,2.8159,0
9011843,0.9185,0.0992,-0.3789,0.0547,-2.9699,-2.9924,-0.3417,0
9012009,0.8726,0.1052,-0.4748,0.0451,-1.6117,-3.0121,-3.2940,0
9012176,0.8118,0.1100,-0.5724,0.0344,-1.5872,-1.2836,-6.1414,0
9012343,0.7515,0.1125,-0.6496,0.0267,2.5465,-0.4092,-4.0735,0
9012510,0.7079,0.1139,-0.6967,0.0217,4.1435,0.9791,0.9054,0
9012676,0.6863,0.1142,-0.7181,0.0169,3.2236,1.8724,-0.2991,0
9012843,0.6752,0.1136,-0.7287,0.0126,1.4420,0.2979,-0.1624,0
9013010,0.6691,0.1128,-0.7345,0.0108,-0.7167,-0.8095,0.2761,0
9013176,0.6626,0.1137,-0.7402,0.0115,0.9835,-1.8392,0.0453,0
9013343,0.6664,0.1162,-0.7363,0.0154,1.9086,-1.4531,-0.2407,0
9013676,0.6948,0.1195,-0.7087,0.0262,3.0137,-0.4311,-0.2737,0
9013843,0.7206,0.1194,-0.6823,0.0324,1.3675,-0.1141,0.9047,0
9014010,0.7313,0.1191,-0.6707,0.0361,-0.7100,-0.8048,-0.4654,0
9014176,0.7467,0.1178,-0.6534,0.0397,3.0479,-0.7573,-0.0248,0
9014343,0.7694,0.1160,-0.6266,0.0447,1.7594,-1.1296,-0.6208,0
9014510,0.7996,0.1136,-0.5874,0.0519,2.6863,-0.6753,-1.5521,0
9014676,0.8354,0.1103,-0.5351,0.0610,2.3416,-0.7320,-2.3145,0
9014843,0.8735,0.1057,-0.4698,0.0715,1.8021,-1.0116,-3.5016,0
9015010,0.9098,0.0994,-0.3944,0.0822,1.0215,-1.1820,-3.1039,0
9015176,0.9397,0.0921,-0.3163,0.0917,0.1334,-1.8571,-1.1011,0
9015343,0.9571,0.0861,-0.2594,0.0963,-3.5241,-4.2368,4.8128,0
9015510,0.9646,0.0823,-0.2319,0.0952,-1.0830,-2.7365,2.4937,0
9016010,0.9749,0.0742,-0.1940,0.0805,-0.9828,-1.9729,2.5869,0
9016176,0.9725,0.0739,-0.2084,0.0726,-2.0252,-1.8235,3.3791,0
9016343,0.9653,0.0749,-0.2417,0.0646,-2.6273,-1.8135,2.4756,0
9016676,0.9372,0.0801,-0.3353,0.0537,-2.0971,-2.6053,1.1155,0
9016843,0.9106,0.0832,-0.4021,0.0463,-2.5434,-2.3349,1.0775,0
9017010,0.8693,0.0857,-0.4854,0.0360,-2.6500,-2.1491,-1.7613,0
9017176,0.8144,0.0865,-0.5733,0.0241,-1.4900,-1.7768,-4.2813,0
9017343,0.7526,0.0847,-0.6529,0.0126,-0.3731,-0.9018,-5.0527,0
9017510,0.6975,0.0826,-0.7118,0.0040,1.8223,-0.0717,1.0708,0
9018176,0.5524,0.0772,-0.8299,-0.0126,2.3816,-0.5042,0.4388,0
9018343,0.5398,0.0773,-0.8381,-0.0126,2.6803,-0.4228,2.2757,0
9018510,0.5370,0.0794,-0.8398,-0.0105,1.3966,-0.8530,-0.0655,0
9018676,0.5382,0.0823,-0.8388,-0.0077,2.7915,-1.1661,0.3631,0
9018843,0.5484,0.0836,-0.8320,-0.0049,3.8482,0.2734,1.3402,0
9019010,0.5772,0.0831,-0.8124,-0.0011,3.8345,1.2603,1.6890,0
9019676,0.8126,0.0803,-0.5762,0.0353,0.5319,-1.4633,-3.2004,0
9019843,0.8605,0.0770,-0.5016,0.0443,1.6997,-1.7475,-4.7369,0
9020010,0.9063,0.0724,-0.4129,0.0543,1.9735,-1.8687,-5.2563,0
9020176,0.9441,0.0661,-0.3167,0.0634,0.0902,-2.0538,-1.3565,0
9020343,0.9661,0.0548,-0.2435,0.0661,-3.1638,-2.5362,6.7997,0
9020510,0.9725,0.0489,-0.2196,0.0606,-1.0436,-3.2798,4.7573,0
9020843,0.9692,0.0475,-0.2376,0.0443,-3.7365,-1.9699,2.7161,0
9021010,0.9593,0.0514,-0.2750,0.0387,-3.8850,-2.1889,2.2325,0
9021176,0.9437,0.0558,-0.3244,0.0334,-2.2800,-0.4532,-0.0898,0
9021343,0.9290,0.0568,-0.3644,0.0295,-1.5217,1.5500,0.7457,0
9021510,0.9082,0.0562,-0.4142,0.0221,-2.1562,-0.4879,0.7434,0
9021676,0.8788,0.0551,-0.4739,0.0138,-3.3951,-1.5232,-0.3745,0
9021843,0.8420,0.0538,-0.5368,0.0070,-2.9623,-1.5670,-2.6243,0
9022010,0.8008,0.0540,-0.5965,0.0030,-2.8503,-1.4050,-2.1388,0
9022176,0.7553,0.0554,-0.6531,0.0009,-2.8532,-0.5649,-2.8312,0
9022343,0.7092,0.0574,-0.7027,-0.0012,1.7739,0.8564,2.1281,0
9022510,0.6755,0.0572,-0.7352,-0.0030,0.7073,0.0546,-1.6139,0
9022676,0.6411,0.0566,-0.7653,-0.0050,0.6880,-1.0051,-1.0893,0
9022843,0.6093,0.0565,-0.7909,-0.0066,1.9013,-0.9686,-0.7063,0
9023010,0.5804,0.0559,-0.8124,-0.0081,1.1067,-0.8938,-0.4517,0
9023176,0.5608,0.0564,-0.8260,-0.0081,2.0646,-0.8094,0.9406,0
9023510,0.5706,0.0589,-0.8191,-0.0040,4.0708,0.6217,2.7354,0
9023676,0.6222,0.0609,-0.7805,0.0025,5.2874,0.7331,1.1311,0
9023843,0.7046,0.0638,-0.7066,0.0144,4.4397,1.4717,-5.0799,0
9024010,0.7733,0.0664,-0.6300,0.0270,1.4509,-0.0419,-1.4022,0
9024176,0.8274,0.0662,-0.5563,0.0392,0.2299,-1.0381,-1.7579,0
9024343,0.8744,0.0641,-0.4784,0.0498,2.4270,-1.4683,-4.5218,0
9024510,0.9144,0.0588,-0.3965,0.0571,2.6847,-2.1598,-2.3712,0
9024676,0.9425,0.0495,-0.3253,0.0590,-1.7256,-0.7200,3.6165,0
9024843,0.9523,0.0432,-0.2971,0.0543,-1.5584,-3.1174,5.4310,0
9025676,0.9591,0.0390,-0.2789,0.0269,-4.2191,0.0255,1.1795,0
9025843,0.9625,0.0385,-0.2670,0.0272,-1.8427,-1.0511,0.5548,0
9026010,0.9652,0.0382,-0.2573,0.0280,-0.3515,-0.9572,0.5545,0
9026176,0.9662,0.0381,-0.2532,0.0286,-1.3463,-0.7945,1.5302,0
9026343,0.9659,0.0381,-0.2545,0.0288,-0.1404,-0.6081,0.4176,0
9026510,0.9665,0.0380,-0.2520,0.0293,1.4019,-0.3851,-1.0706,0
9026676,0.9695,0.0376,-0.2405,0.0301,1.7424,-0.3447,-1.4345,0
9028010,0.9987,0.0292,0.0221,0.0350,0.2543,-0.6407,-0.5513,0
9028176,0.9987,0.0293,0.0223,0.0351,0.1129,-0.5441,0.7253,0
