DeviceTag: Xsens DOT1,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2023-06-01 19:39:13.512,© Movella Technologies B.V. 2005-2023
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
12536413,0.5343,0.0319,-0.0446,-0.8435,-0.7916,0.4483,0.2755,0
12536579,0.5345,0.0321,-0.0451,-0.8433,-0.7888,0.4637,0.2524,0
12536746,0.5349,0.0324,-0.0457,-0.8431,-0.8091,0.4719,0.2801,0
12536913,0.5352,0.0327,-0.0462,-0.8429,-0.8190,0.4717,0.2730,0
12537079,0.5355,0.0330,-0.0467,-0.8426,-0.8170,0.4842,0.2843,0
12537246,0.5357,0.0333,-0.0472,-0.8425,-0.8380,0.4925,0.2814,0
12537413,0.5360,0.0336,-0.0477,-0.8422,-0.8429,0.4895,0.2635,0
12537579,0.5362,0.0339,-0.0482,-0.8420,-0.8469,0.4902,0.2672,0
12537746,0.5365,0.0341,-0.0487,-0.8418,-0.8570,0.4983,0.2492,0
12537913,0.5368,0.0344,-0.0492,-0.8416,-0.8813,0.4987,0.2534,0
12538079,0.5372,0.0347,-0.0497,-0.8413,-0.8973,0.5093,0.2487,0
12538246,0.5374,0.0349,-0.0502,-0.8411,-0.9056,0.5223,0.2694,0
12538413,0.5377,0.0352,-0.0506,-0.8409,-0.9059,0.5101,0.2362,0
12538579,0.5380,0.0355,-0.0511,-0.8407,-0.9111,0.5381,0.2756,0
12538746,0.5382,0.0357,-0.0516,-0.8405,-0.9250,0.5287,0.2740,0
12538913,0.5384,0.0360,-0.0520,-0.8403,-0.9413,0.5414,0.2442,0
12539079,0.5387,0.0362,-0.0525,-0.8401,-0.9478,0.5374,0.2701,0
12539246,0.5390,0.0365,-0.0530,-0.8398,-0.9482,0.5386,0.2459,0
12539413,0.5393,0.0367,-0.0534,-0.8396,-0.9713,0.5556,0.2715,0
12539579,0.5396,0.0370,-0.0538,-0.8394,-0.9746,0.5501,0.2432,0
12539746,0.5399,0.0372,-0.0543,-0.8392,-0.9907,0.5447,0.2481,0
12539913,0.5403,0.0375,-0.0547,-0.8389,-0.9903,0.5620,0.2532,0
12540079,0.5404,0.0377,-0.0552,-0.8387,-0.9879,0.5641,0.2355,0
12540246,0.5407,0.0379,-0.0556,-0.8385,-0.9907,0.5732,0.2634,0
12540413,0.5411,0.0382,-0.0560,-0.8383,-1.0141,0.5589,0.2462,0
12540579,0.5413,0.0384,-0.0564,-0.8380,-1.0287,0.5750,0.2390,0
12540746,0.5416,0.0386,-0.0568,-0.8378,-1.0343,0.5767,0.2354,0
12540913,0.5418,0.0388,-0.0572,-0.8377,-1.0273,0.5870,0.2508,0
