DeviceTag: Xsens DOT3,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2023-06-01 19:39:13.616,© Movella Technologies B.V. 2005-2023
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
13046033,0.6991,-0.1662,-0.6736,-0.1728,-0.0319,0.0438,0.1355,0
13046200,0.6993,-0.1661,-0.6734,-0.1729,-0.0290,0.0227,0.1317,0
13046366,0.6995,-0.1659,-0.6733,-0.1729,-0.0193,0.0080,0.1278,0
13046533,0.6996,-0.1657,-0.6732,-0.1726,0.0028,0.0085,0.1274,0
13046700,0.6997,-0.1656,-0.6733,-0.1725,-0.0033,-0.0063,0.1244,0
13046866,0.6996,-0.1656,-0.6733,-0.1723,-0.0127,0.0163,0.1313,0
13047033,0.6996,-0.1655,-0.6735,-0.1720,-0.0108,0.0140,0.1390,0
13047200,0.6996,-0.1653,-0.6736,-0.1717,-0.0013,0.0143,0.1449,0
13047366,0.6996,-0.1653,-0.6737,-0.1715,-0.0092,0.0199,0.1309,0
13047533,0.6996,-0.1651,-0.6738,-0.1712,-0.0062,0.0132,0.1267,0
13047700,0.6995,-0.1650,-0.6739,-0.1709,-0.0212,0.0270,0.1310,0
13047866,0.6995,-0.1648,-0.6741,-0.1706,-0.0234,0.0247,0.1357,0
13048033,0.6995,-0.1647,-0.6742,-0.1703,-0.0259,0.0285,0.1327,0
13048200,0.6995,-0.1646,-0.6743,-0.1700,-0.0080,0.0265,0.1364,0
13048366,0.6995,-0.1644,-0.6745,-0.1697,0.0001,0.0225,0.1117,0
13048533,0.6995,-0.1642,-0.6746,-0.1694,-0.0217,0.0570,0.1232,0
13048700,0.6994,-0.1641,-0.6747,-0.1691,-0.0165,0.0395,0.1333,0
