PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
53, 1290345033, 0.753902, 0.6039808, 0.1903523, 0.17494324, 0.4786255, -0.6652443, -0.01053524, 0
54, 1290361700, 0.75312436, 0.604715, 0.19059981, 0.17548645, 0.2802268, -0.5460587, 0.45411777, 0
55, 1290378367, 0.75279486, 0.60486823, 0.19050904, 0.17646702, 0.25132814, -0.042184494, 1.3702974, 0
56, 1290395034, 0.7540016, 0.60305357, 0.18991204, 0.17816119, 0.18786387, -0.014670944, 1.2794876, 0
57, 1290411701, 0.75473434, 0.6018394, 0.18913542, 0.17998134, 0.034296945, -0.19612233, 0.5376549, 0
58, 1290428368, 0.7542553, 0.60221636, 0.18812315, 0.18178096, 0.02237957, -0.083823614, 1.0116816, 0
59, 1290445035, 0.75402296, 0.60231966, 0.18630123, 0.18426186, 0.2800138, -0.117607154, 2.1061316, 0
60, 1290461702, 0.75537735, 0.6004493, 0.18322775, 0.1878656, 0.29784566, -0.2888315, 2.3764496, 0
61, 1290478369, 0.7573791, 0.5977612, 0.1792479, 0.19216862, 0.27445894, -0.3312672, 2.0859184, 0
62, 1290495036, 0.759112, 0.59538364, 0.17452155, 0.19700196, 0.25120085, -0.25020978, 1.512332, 0
63, 1290511703, 0.7602093, 0.59376484, 0.1694676, 0.20200455, 0.2547177, -0.0662698, 1.1638193, 0
64, 1290528370, 0.76044565, 0.5931656, 0.16428047, 0.20709682, 0.15338019, 0.03733158, 1.0927372, 0
65, 1290545037, 0.7601597, 0.59310323, 0.15866461, 0.21263023, 0.16599704, 0.20490102, 1.3771582, 0
66, 1290561704, 0.76000684, 0.5926487, 0.15275681, 0.21868382, 0.037498433, 0.10173013, 1.4896355, 0
67, 1290578371, 0.76021194, 0.5915605, 0.14575486, 0.22558784, 0.08994519, -0.1293626, 1.3740168, 0
68, 1290595038, 0.76093954, 0.58974606, 0.13830887, 0.23246817, 0.12453516, -0.12294599, 1.3105993, 0
69, 1290611705, 0.7621349, 0.58713514, 0.1301016, 0.23978396, -0.008994943, -0.06920632, 0.8536072, 0
70, 1290628372, 0.7628919, 0.58495283, 0.12137482, 0.24717249, -0.04530775, -8.435379E-4, 0.36210442, 0
71, 1290645039, 0.7625322, 0.5839912, 0.112528056, 0.2546303, -0.17377372, 0.0058918013, 0.46851635, 0
72, 1290661706, 0.7615034, 0.5835816, 0.10346606, 0.26237383, -0.23347001, 0.055662327, 0.5184345, 0
73, 1290678373, 0.75969845, 0.5837737, 0.094257094, 0.27052248, -0.40259165, -0.20046161, 0.41115475, 0
74, 1290695040, 0.7575489, 0.58407813, 0.08454869, 0.27896965, -0.49814075, -0.22391662, 0.2990713, 0
75, 1290711707, 0.75523156, 0.5842292, 0.07440587, 0.28768992, -0.5526622, -0.10804258, 0.3914814, 0
76, 1290728374, 0.7532396, 0.58362734, 0.06370091, 0.29656675, -0.62391114, -0.24737208, 0.50394535, 0
77, 1290745041, 0.751335, 0.58251506, 0.052523185, 0.30563608, -0.57370776, -0.23190631, 0.30623627, 0
78, 1290761708, 0.74876887, 0.58180165, 0.041218754, 0.3148857, -0.59702253, -0.21352774, 0.026582718, 0
79, 1290778375, 0.74535394, 0.58165747, 0.029826662, 0.32439572, -0.7138245, -0.34506914, 0.08767605, 0
80, 1290795042, 0.7416055, 0.5813882, 0.018138519, 0.33418614, -0.81583256, -0.32562664, 0.20565605, 0
81, 1290811709, 0.7375127, 0.5809667, 0.006318496, 0.34425703, -0.8893128, -0.20837487, 0.37530613, 0
