PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
53, 1290228364, 0.8735149, -0.022741275, -0.46436036, -0.14431214, -0.3912697, 1.2249854, 0.96162224, 0
54, 1290245031, 0.8754054, -0.017809223, -0.4610039, -0.14430949, -0.06496672, 0.49131477, 0.6494255, 0
55, 1290261698, 0.8768543, -0.0145780835, -0.4583109, -0.14445391, 0.37911308, -0.47716808, -0.27295685, 0
56, 1290278365, 0.8765892, -0.010100802, -0.4594147, -0.14293054, 0.28505123, -0.442427, -0.4085064, 0
57, 1290295032, 0.87456936, -0.0044462737, -0.4640473, -0.14060733, -0.050617192, 0.48189467, 0.054719925, 0
58, 1290311699, 0.8718881, -5.194377E-4, -0.46935534, -0.13970773, -0.017586, 0.80484724, 0.39647293, 0
59, 1290328366, 0.87044674, -0.0032764487, -0.4711792, -0.14249091, 0.5753438, -0.04593495, -0.023768425, 0
60, 1290345033, 0.86899287, -0.00542082, -0.47325498, -0.14440733, 0.6379154, -1.2758106, -0.26372337, 0
61, 1290361700, 0.8679325, -0.0044781705, -0.47513536, -0.14464271, 0.37791795, -0.6079399, 0.055553436, 0
62, 1290378367, 0.86679566, -0.004783637, -0.47725764, -0.14446229, 0.2010955, 0.40593338, 0.24741268, 0
63, 1290395034, 0.8654746, -0.0049154544, -0.47962898, -0.14452438, 0.314666, 0.9524683, 0.56612396, 0
64, 1290411701, 0.8647004, -0.0055921273, -0.4808692, -0.14501242, 0.34433377, 0.14687735, 0.34872055, 0
65, 1290428368, 0.8643505, -0.006219766, -0.48146766, -0.14508718, 0.47378266, -0.5924267, 0.111925125, 0
66, 1290445035, 0.8643341, -0.006313863, -0.48143914, -0.14527558, 0.31668657, -0.15282963, 0.18252468, 0
67, 1290461702, 0.8644474, -0.0065296628, -0.4811598, -0.14551613, 0.28008497, 0.17455833, 0.25825882, 0
68, 1290478369, 0.8644525, -0.006824326, -0.48105085, -0.14583278, 0.2485516, 0.16056287, 0.16848755, 0
69, 1290495036, 0.8644733, -0.0072615193, -0.48091498, -0.14613652, 0.29119492, 0.10300491, 0.24120235, 0
70, 1290511703, 0.8645575, -0.007228897, -0.4807054, -0.14632931, 0.34025466, -0.005771342, 0.33824062, 0
71, 1290528370, 0.8644722, -0.0066924766, -0.48094478, -0.14607194, 0.36963677, -0.037210353, 0.40443897, 0
72, 1290545037, 0.8644021, -0.0060521485, -0.48114607, -0.1458513, 0.29406124, 0.082522735, 0.23610973, 0
73, 1290561704, 0.86436874, -0.005136025, -0.48128113, -0.14563881, 0.28568667, 0.036942963, 0.150424, 0
74, 1290578371, 0.8643275, -0.0041380236, -0.48150483, -0.14517516, 0.2642415, 0.10710494, 0.22930717, 0
75, 1290595038, 0.8643731, -0.0031824792, -0.48157206, -0.14470361, 0.21233508, 0.18477787, 0.23984814, 0
76, 1290611705, 0.8645028, -0.0020907, -0.481462, -0.14431438, 0.20426804, 0.13631901, 0.112644196, 0
77, 1290628372, 0.8647544, -9.7538624E-4, -0.48111877, -0.14396322, 0.18113221, 0.07922454, 0.13541126, 0
78, 1290645039, 0.8650041, 4.5980513E-4, -0.4808704, -0.14329413, 0.0975348, 0.15050867, 0.18768597, 0
79, 1290661706, 0.86530006, 0.0017205402, -0.480507, -0.14271481, 0.11570193, 0.17298958, 0.107151985, 0
80, 1290678373, 0.8655341, 0.0027974453, -0.48026723, -0.14208412, 0.16324268, 0.07233209, -0.038028717, 0
81, 1290695040, 0.8659217, 0.0037671523, -0.47974446, -0.14146453, 0.18852021, 0.20052761, 0.09257698, 0
82, 1290711707, 0.8663871, 0.0045663104, -0.47907007, -0.1408754, 0.18932351, 0.1838912, 0.17195415, 0
83, 1290728374, 0.86687106, 0.005247644, -0.478357, -0.14029686, 0.19230741, 0.20414376, 0.0568552, 0
84, 1290745041, 0.86728096, 0.0058653974, -0.47780883, -0.13960531, 0.29388288, 0.1596319, 0.014455795, 0
85, 1290761708, 0.8676412, 0.006513754, -0.47739384, -0.13875665, 0.24263717, 0.05839504, 0.10776901, 0
86, 1290778375, 0.8680424, 0.007156061, -0.4769355, -0.13778746, 0.2636581, 0.051138896, 0.11505318, 0
87, 1290795042, 0.8684541, 0.00796696, -0.4765145, -0.13660175, 0.24204934, 0.1298592, 0.14745331, 0
88, 1290811709, 0.8689035, 0.0087524, -0.47600603, -0.13546307, 0.31003258, 0.11768421, 0.11182785, 0
89, 1290828376, 0.8693728, 0.009548669, -0.47546634, -0.13428764, 0.35855362, 0.06846724, 0.17474079, 0
90, 1290845043, 0.869806, 0.0102868555, -0.47497314, -0.13316938, 0.48232666, -0.056456584, 0.21437931, 0
91, 1290861710, 0.8701496, 0.011298006, -0.47467124, -0.13191326, 0.37241685, -0.057383336, 0.2765522, 0
92, 1290878377, 0.8704657, 0.012343058, -0.47439635, -0.13071768, 0.2656836, 0.07985956, 0.31413746, 0
93, 1290895044, 0.8708759, 0.013296882, -0.473885, -0.1297418, 0.24053973, 0.14897954, 0.21635342, 0
94, 1290911711, 0.87134373, 0.014166834, -0.4732168, -0.12894467, 0.22656167, 0.11356309, 0.20033932, 0
95, 1290928378, 0.8717821, 0.014940387, -0.47260332, -0.12814249, 0.20041691, 0.021500982, 0.23805618, 0
96, 1290945045, 0.87220395, 0.015567357, -0.47203544, -0.12728907, 0.28559637, 0.0021628512, 0.06450653, 0
97, 1290961712, 0.8727455, 0.016061367, -0.47116938, -0.12672248, 0.34640977, 0.19327517, 0.20021343, 0
98, 1290978379, 0.8733406, 0.016399859, -0.4701235, -0.12646386, 0.3649627, 0.048446596, 0.19001007, 0
99, 1290995046, 0.87382, 0.01693682, -0.46930277, -0.12612897, 0.31769997, -0.13259299, 0.21294022, 0
100, 1291011713, 0.87425345, 0.017740857, -0.46859324, -0.12565295, 0.401883, -0.011600727, 0.275692, 0
101, 1291028380, 0.87460977, 0.018822823, -0.4680339, -0.12509778, 0.45002323, -0.07961787, 0.022532463, 0
102, 1291045047, 0.87491876, 0.019843891, -0.46759284, -0.124427855, 0.40557542, -0.030417075, 0.17347908, 0
103, 1291061714, 0.8753698, 0.020685378, -0.46684578, -0.12392203, 0.47782913, -0.027304532, 0.37132835, 0
104, 1291078381, 0.875888, 0.021394536, -0.46591878, -0.123627484, 0.40663132, -0.03617681, 0.43863678, 0
105, 1291095048, 0.87638366, 0.022312969, -0.46498454, -0.12347031, 0.3103437, -0.03274311, 0.23912811, 0
106, 1291111715, 0.8768354, 0.023317734, -0.4641144, -0.12335041, 0.28244796, -0.057003878, 0.14592934, 0
107, 1291128382, 0.87725747, 0.024354309, -0.46333432, -0.12308108, 0.29902995, 0.05166669, 0.12966919, 0
